time;gFx;gFy;gFz;TgF
0.491399384;0,0109;-0,0217;0,9912;0,992
0.494038461;0,0006;-0,0220;0,9896;0,990
0.496571692;-0,0368;-0,0247;0,9998;1,001
0.499029615;-0,0748;-0,0284;1,0120;1,015
0.503279769;-0,0652;-0,0345;1,0215;1,024
0.504765538;-0,0147;-0,0354;1,0120;1,013
0.506678154;0,0207;-0,0296;0,9991;1,000
0.509237615;-0,0070;-0,0293;0,9954;0,996
0.511792692;-0,0531;-0,0340;1,0003;1,002
0.514240923;-0,0726;-0,0359;1,0073;1,011
0.51671323;-0,0535;-0,0291;1,0024;1,004
0.519606769;-0,0168;-0,0313;0,9874;0,988
0.522026769;0,0090;-0,0418;0,9783;0,979
0.524418538;0,0034;-0,0426;0,9849;0,986
0.526891384;-0,0274;-0,0433;0,9986;1,000
0.529312615;-0,0415;-0,0410;0,9993;1,001
0.531795692;-0,0168;-0,0284;0,9964;0,997
0.534270461;0,0085;-0,0274;0,9910;0,991
0.537368307;0,0036;-0,0398;0,9919;0,993
0.539474769;-0,0161;-0,0494;1,0045;1,006
0.542168;-0,0166;-0,0452;1,0086;1,010
0.544393;0,0038;-0,0371;1,0010;1,002
0.546922154;0,0131;-0,0323;0,9984;0,999
0.549338769;0,0160;-0,0338;1,0057;1,006
0.552926538;0,0001;-0,0426;1,0113;1,012
0.55462123;-0,0159;-0,0457;1,0101;1,011
0.557068615;-0,0039;-0,0464;0,9977;0,999
0.559565615;0,0011;-0,0391;0,9937;0,994
0.562043461;0,0060;-0,0342;1,0017;1,002
0.56468523;-0,0023;-0,0323;1,0054;1,006
0.566960077;-0,0135;-0,0373;1,0030;1,004
0.573839692;-0,0156;-0,0406;0,9952;0,996
0.575005307;-0,0124;-0,0389;0,9947;0,996
0.576043077;-0,0119;-0,0335;1,0017;1,002
0.577467077;-0,0184;-0,0298;1,0020;1,003
0.579546461;-0,0293;-0,0268;1,0059;1,007
0.58224523;-0,0200;-0,0277;1,0017;1,002
0.584744615;-0,0032;-0,0308;0,9952;0,996
0.587361923;0,0094;-0,0347;0,9949;0,996
0.589731461;-0,0056;-0,0389;0,9949;0,996
0.592290846;-0,0337;-0,0386;1,0061;1,007
0.594705307;-0,0352;-0,0291;1,0194;1,020
0.597236692;-0,0219;-0,0198;1,0191;1,020
0.599693615;0,0016;-0,0249;1,0076;1,008
0.602287461;0,0141;-0,0342;1,0010;1,002
0.605346538;-0,0051;-0,0382;0,9979;0,999
0.607321538;-0,0323;-0,0396;1,0069;1,008
0.609815461;-0,0471;-0,0281;1,0103;1,012
0.61244123;-0,0438;-0,0210;1,0022;1,003
0.614847077;-0,0210;-0,0210;0,9947;0,995
0.617411692;0,0029;-0,0259;0,9966;0,997
0.620161;-0,0030;-0,0271;1,0057;1,006
0.624076692;-0,0179;-0,0291;1,0035;1,004
0.624969538;-0,0308;-0,0323;1,0003;1,001
0.627669923;-0,0340;-0,0310;1,0010;1,002
0.630109846;-0,0166;-0,0271;1,0017;1,002
0.632631154;0,0006;-0,0279;1,0061;1,007
0.636622846;0,0000;-0,0305;1,0140;1,014
0.638144307;-0,0159;-0,0326;1,0115;1,012
0.640297923;-0,0176;-0,0340;1,0047;1,005
0.642682769;-0,0086;-0,0323;1,0022;1,003
0.644986538;-0,0098;-0,0298;1,0042;1,005
0.647387692;-0,0147;-0,0313;0,9977;0,998
0.650008615;-0,0142;-0,0308;0,9937;0,994
0.652598461;-0,0114;-0,0308;0,9924;0,993
0.655014461;0,0009;-0,0293;0,9937;0,994
0.658014538;0,0094;-0,0259;1,0003;1,001
0.66038;-0,0023;-0,0249;1,0030;1,003
0.662876923;-0,0163;-0,0254;0,9986;0,999
0.665518538;-0,0235;-0,0271;0,9984;0,999
0.668069538;-0,0232;-0,0289;0,9973;0,998
0.672062538;-0,0114;-0,0298;1,0028;1,003
0.673445;0,0026;-0,0281;1,0047;1,005
0.675310154;0,0046;-0,0289;1,0010;1,001
0.678076;-0,0119;-0,0277;0,9979;0,998
0.680628615;-0,0284;-0,0289;0,9986;0,999
0.682967384;-0,0281;-0,0274;1,0005;1,001
0.686376692;-0,0124;-0,0281;1,0003;1,001
0.688110769;-0,0005;-0,0274;0,9971;0,998
0.690491077;-0,0063;-0,0261;0,9966;0,997
0.693376307;-0,0122;-0,0310;0,9966;0,997
0.695522769;-0,0159;-0,0328;1,0024;1,003
0.698051384;-0,0154;-0,0313;1,0037;1,004
0.700529;-0,0142;-0,0279;1,0024;1,003
0.703045923;-0,0117;-0,0268;1,0024;1,003
0.705671154;-0,0154;-0,0289;1,0022;1,003
0.70819723;-0,0127;-0,0293;0,9998;1,000
0.710661923;0,0006;-0,0320;0,9998;1,000
0.713260307;0,0016;-0,0333;1,0008;1,001
0.715726846;-0,0066;-0,0310;1,0049;1,005
0.719512307;-0,0212;-0,0271;1,0024;1,003
0.721447461;-0,0266;-0,0249;1,0022;1,003
0.72322;-0,0237;-0,0298;1,0003;1,001
0.725782769;-0,0173;-0,0323;0,9998;1,000
0.728085538;-0,0086;-0,0347;1,0017;1,002
0.730598154;-0,0079;-0,0357;0,9973;0,998
0.733345;-0,0203;-0,0352;0,9954;0,996
0.735800615;-0,0361;-0,0345;1,0010;1,002
0.738408692;-0,0428;-0,0371;0,9991;1,001
0.740929615;-0,0333;-0,0313;0,9986;1,000
0.743230846;-0,0137;-0,0323;0,9968;0,997
0.745819461;-0,0066;-0,0345;0,9964;0,997
0.748591692;-0,0112;-0,0377;1,0005;1,001
0.750628923;-0,0171;-0,0357;1,0028;1,004
0.753423077;-0,0198;-0,0338;1,0049;1,006
0.755759461;-0,0171;-0,0308;1,0042;1,005
0.758689615;-0,0181;-0,0293;1,0010;1,002
0.760969923;-0,0176;-0,0335;1,0028;1,003
0.763576307;-0,0091;-0,0361;0,9996;1,000
0.765924692;-0,0026;-0,0354;1,0040;1,005
0.770685615;-0,0051;-0,0347;1,0081;1,009
0.771306461;-0,0075;-0,0340;1,0091;1,010
0.773451384;-0,0107;-0,0345;1,0079;1,009
0.776410846;-0,0105;-0,0349;1,0015;1,002
0.778785307;-0,0056;-0,0328;0,9984;0,999
0.781304923;-0,0012;-0,0342;0,9977;0,998
0.78364223;0,0041;-0,0330;1,0005;1,001
0.786397923;0,0018;-0,0323;1,0057;1,006
0.78883323;-0,0032;-0,0338;1,0042;1,005
0.791480384;-0,0163;-0,0349;1,0000;1,001
0.793742461;-0,0193;-0,0320;0,9979;0,999
0.796229615;-0,0091;-0,0308;0,9966;0,997
0.798798538;-0,0007;-0,0286;0,9961;0,997
0.801241538;-0,0032;-0,0268;0,9919;0,992
0.804224;-0,0081;-0,0277;0,9979;0,998
0.80633823;-0,0171;-0,0303;1,0040;1,005
0.808918846;-0,0179;-0,0305;1,0057;1,006
0.811212923;-0,0181;-0,0289;1,0054;1,006
0.813898154;-0,0225;-0,0335;1,0069;1,008
0.816482538;-0,0212;-0,0342;1,0035;1,004
0.819597846;-0,0186;-0,0317;1,0035;1,004
0.821931077;-0,0191;-0,0313;1,0030;1,004
0.82398623;-0,0259;-0,0328;1,0054;1,006
0.826512077;-0,0340;-0,0349;1,0073;1,009
0.828806154;-0,0324;-0,0328;1,0066;1,008
0.831362769;-0,0200;-0,0326;1,0037;1,004
0.833761923;-0,0137;-0,0289;1,0008;1,001
0.836523154;-0,0124;-0,0284;0,9986;0,999
0.838892384;-0,0132;-0,0303;0,9984;0,999
0.84152;-0,0112;-0,0286;1,0003;1,001
0.844020384;-0,0122;-0,0268;1,0040;1,004
0.846489538;-0,0154;-0,0289;1,0037;1,004
0.848999154;-0,0176;-0,0326;1,0008;1,002
0.856753923;-0,0154;-0,0313;0,9991;1,000
0.857896307;-0,0156;-0,0333;0,9988;0,999
0.858585538;-0,0173;-0,0366;0,9996;1,000
0.859126846;-0,0154;-0,0335;1,0020;1,003
0.861752307;-0,0139;-0,0310;0,9984;0,999
0.864336307;-0,0139;-0,0320;0,9988;0,999
0.866700384;-0,0144;-0,0340;0,9981;0,999
0.869648384;-0,0112;-0,0342;0,9977;0,998
0.871722154;-0,0061;-0,0364;0,9993;1,000
0.874242154;-0,0044;-0,0349;0,9996;1,000
0.876776307;-0,0073;-0,0349;1,0010;1,002
0.880015384;-0,0100;-0,0340;0,9993;1,000
0.881709846;-0,0132;-0,0352;0,9998;1,001
0.884176384;-0,0124;-0,0330;1,0028;1,003
0.886747769;-0,0081;-0,0317;1,0003;1,001
0.889284692;-0,0032;-0,0301;0,9991;1,000
0.892101923;-0,0019;-0,0313;0,9996;1,000
0.894339461;-0,0044;-0,0313;1,0045;1,005
0.896822846;-0,0061;-0,0313;1,0069;1,007
0.899281307;-0,0068;-0,0303;1,0049;1,005
0.902888384;-0,0049;-0,0298;1,0024;1,003
0.904638461;-0,0054;-0,0320;0,9996;1,000
0.906971077;-0,0086;-0,0305;0,9998;1,000
0.909567769;-0,0149;-0,0303;1,0057;1,006
0.911963077;-0,0186;-0,0298;1,0108;1,011
0.914394769;-0,0181;-0,0330;1,0098;1,010
0.916943384;-0,0225;-0,0342;1,0071;1,008
0.919378846;-0,0252;-0,0338;1,0020;1,003
0.922012384;-0,0244;-0,0296;1,0003;1,001
0.924723154;-0,0191;-0,0284;0,9998;1,000
0.927077846;-0,0225;-0,0261;1,0010;1,002
0.929663692;-0,0244;-0,0264;1,0022;1,003
0.932285538;-0,0205;-0,0257;1,0008;1,001
0.936791692;-0,0203;-0,0266;0,9996;1,000
0.938241615;-0,0186;-0,0257;0,9988;0,999
0.939945538;-0,0166;-0,0274;1,0045;1,005
0.942356;-0,0132;-0,0284;1,0059;1,006
0.944746769;-0,0066;-0,0298;1,0059;1,006
0.947013538;-0,0014;-0,0305;1,0084;1,009
0.949716923;-0,0007;-0,0310;1,0145;1,015
0.952276;-0,0034;-0,0330;1,0203;1,021
0.954706538;-0,0007;-0,0281;1,0247;1,025
0.957571384;0,0043;-0,0212;1,0228;1,023
0.960019384;0,0043;-0,0217;1,0128;1,013
0.962194461;-0,0117;-0,0279;0,9993;1,000
0.964745;-0,0264;-0,0301;0,9874;0,988
0.967146538;-0,0237;-0,0308;0,9822;0,983
0.970124077;-0,0191;-0,0281;0,9868;0,987
0.972453307;-0,0171;-0,0281;0,9932;0,994
0.974955077;-0,0151;-0,0293;0,9966;0,997
0.977584;-0,0163;-0,0293;0,9977;0,998
0.980791461;-0,0184;-0,0284;0,9973;0,998
0.982574538;-0,0188;-0,0279;0,9956;0,996
0.986385;-0,0193;-0,0279;0,9973;0,998
0.987982154;-0,0195;-0,0298;0,9959;0,997
0.990126461;-0,0198;-0,0298;0,9961;0,997
