time;gFx;gFy;gFz;TgF
0,827282;-0,0101;-0,0027;-0,0193;0,022
0,833911;0,0036;-0,0028;-0,0057;0,007
0,837281;-0,0101;0,0108;0,0080;0,017
0,842076;0,0033;-0,0026;-0,0057;0,007
0,848049;-0,0240;-0,0026;0,0079;0,025
0,852375;-0,0104;-0,0026;-0,0057;0,012
0,861335;0,0032;-0,0026;-0,0193;0,020
0,863239;-0,0098;0,0103;-0,0056;0,015
0,867769;0,0039;-0,0171;-0,0056;0,018
0,872360;0,0039;-0,0170;-0,0193;0,026
0,877614;0,0038;-0,0034;-0,0193;0,020
0,882656;-0,0092;-0,0032;-0,0056;0,011
0,887576;0,0045;0,0104;-0,0056;0,013
0,892830;-0,0091;-0,0032;0,0080;0,013
0,898078;0,0044;0,0105;0,0080;0,014
0,902790;0,0041;0,0096;-0,0192;0,022
0,907588;0,0177;0,0096;-0,0329;0,039
0,912595;0,0177;-0,0040;-0,0056;0,019
0,917951;0,0040;-0,0040;0,0080;0,010
0,922803;0,0038;0,0089;-0,0056;0,011
0,927775;0,0038;-0,0049;-0,0192;0,020
0,939350;0,0038;0,0088;-0,0056;0,011
0,940040;0,0039;0,0088;-0,0056;0,011
0,943051;0,0036;-0,0045;-0,0056;0,008
0,951997;-0,0100;0,0092;-0,0056;0,015
0,952783;0,0037;-0,0044;-0,0056;0,008
0,957965;-0,0100;-0,0044;-0,0056;0,012
0,963174;-0,0093;-0,0041;0,0080;0,013
0,968274;-0,0091;-0,0040;0,0080;0,013
0,973387;-0,0227;-0,0041;-0,0056;0,024
0,978230;0,0046;-0,0041;-0,0056;0,008
0,983829;0,0170;-0,0039;-0,0193;0,026
0,988262;0,0033;0,0099;-0,0056;0,012
0,993272;0,0033;-0,0038;-0,0193;0,020
0,998198;0,0168;0,0098;-0,0056;0,020
1,003631;0,0030;-0,0037;-0,0193;0,020
1,008287;0,0030;-0,0036;-0,0056;0,007
1,013599;0,0030;-0,0036;-0,0056;0,007
1,019229;0,0029;-0,0036;-0,0056;0,007
1,023595;0,0027;0,0094;-0,0056;0,011
1,028651;-0,0110;0,0093;-0,0192;0,024
1,039181;0,0028;-0,0179;-0,0056;0,019
1,039840;0,0028;-0,0042;0,0080;0,009
1,043529;0,0027;-0,0040;-0,0056;0,007
1,049194;0,0027;0,0097;-0,0193;0,022
1,053666;-0,0109;0,0097;-0,0056;0,016
1,059264;0,0028;-0,0039;-0,0056;0,007
1,065773;0,0153;-0,0036;-0,0057;0,017
1,069108;-0,0121;-0,0036;-0,0057;0,014
1,074055;0,0016;-0,0037;-0,0193;0,020
1,079131;0,0016;0,0099;-0,0057;0,012
1,084221;0,0016;-0,0034;-0,0057;0,007
1,089182;0,0016;-0,0034;-0,0057;0,007
1,094194;-0,0120;0,0102;-0,0057;0,017
1,099058;0,0017;-0,0034;-0,0057;0,007
1,104166;-0,0111;-0,0032;-0,0057;0,013
1,109484;0,0026;0,0104;-0,0193;0,022
1,122650;0,0026;-0,0031;-0,0193;0,020
1,123295;0,0026;0,0105;-0,0329;0,035
1,124244;0,0024;-0,0029;-0,0057;0,007
1,129146;-0,0112;-0,0029;-0,0057;0,013
1,134531;-0,0248;-0,0028;-0,0057;0,026
1,139233;0,0025;-0,0028;-0,0193;0,020
1,144334;0,0023;-0,0026;0,0079;0,009
1,149568;0,0022;-0,0162;-0,0057;0,017
1,154771;-0,0113;-0,0026;-0,0057;0,013
1,159368;-0,0114;-0,0026;-0,0057;0,013
1,164742;0,0021;-0,0024;-0,0057;0,007
1,169353;0,0021;0,0112;-0,0193;0,022
1,175114;0,0021;0,0112;-0,0329;0,035
1,179759;0,0022;-0,0024;-0,0057;0,007
1,185074;0,0148;-0,0023;-0,0057;0,016
1,190163;-0,0125;-0,0023;-0,0193;0,023
1,194864;0,0011;-0,0023;-0,0057;0,006
1,200416;-0,0126;0,0114;-0,0057;0,018
1,205271;0,0010;-0,0021;-0,0057;0,006
1,209968;0,0010;-0,0021;-0,0057;0,006
1,218091;0,0009;-0,0022;-0,0193;0,019
1,220286;0,0145;-0,0022;-0,0193;0,024
1,224774;0,0009;0,0106;-0,0193;0,022
1,230296;0,0009;0,0105;-0,0193;0,022
1,235059;0,0009;-0,0031;0,0079;0,009
1,240231;-0,0127;0,0105;0,0079;0,018
1,245160;0,0008;0,0224;-0,0192;0,030
1,250535;0,0009;-0,0049;-0,0056;0,008
1,255362;0,0009;0,0087;-0,0192;0,021
1,260170;-0,0127;0,0086;-0,0056;0,016
1,265399;0,0008;-0,0047;-0,0056;0,007
1,270478;0,0007;0,0090;-0,0192;0,021
1,275062;0,0007;0,0090;-0,0056;0,011
1,281645;0,0007;-0,0046;-0,0193;0,020
1,285441;-0,0247;0,0084;-0,0192;0,032
1,290714;-0,0110;-0,0052;-0,0056;0,013
1,295520;-0,0110;-0,0052;0,0080;0,015
1,300638;-0,0110;0,0083;-0,0056;0,015
1,305745;0,0151;0,0077;-0,0056;0,018
1,310721;0,0014;-0,0059;-0,0056;0,008
1,322546;0,0014;-0,0059;-0,0056;0,008
1,323179;-0,0258;-0,0059;-0,0056;0,027
1,325629;0,0013;-0,0055;-0,0056;0,008
1,332495;0,0013;-0,0054;-0,0056;0,008
1,335567;-0,0123;-0,0053;0,0216;0,025
1,340619;-0,0124;-0,0053;0,0080;0,016
1,345812;0,0010;-0,0050;-0,0056;0,008
1,350942;-0,0126;-0,0186;-0,0056;0,023
1,355915;0,0009;0,0087;-0,0056;0,010
1,361115;0,0008;-0,0050;-0,0056;0,008
1,366274;0,0008;-0,0047;-0,0056;0,007
1,371022;0,0008;-0,0046;-0,0056;0,007
1,376008;-0,0128;-0,0182;-0,0056;0,023
1,381527;0,0008;-0,0047;-0,0192;0,020
1,385937;-0,0119;-0,0171;0,0080;0,022
1,391634;-0,0119;0,0103;-0,0057;0,017
1,396141;-0,0120;-0,0033;-0,0193;0,023
1,401333;0,0016;0,0103;0,0080;0,013
1,406440;0,0015;-0,0032;-0,0057;0,007
1,411299;0,0151;0,0105;-0,0057;0,019
1,422752;0,0014;0,0105;0,0079;0,013
1,423386;0,0014;0,0104;-0,0057;0,012
1,426205;-0,0114;-0,0031;-0,0057;0,013
1,432639;0,0023;-0,0030;-0,0057;0,007
1,436392;0,0023;-0,0030;-0,0057;0,007
1,441482;0,0023;-0,0030;0,0079;0,009
1,446666;0,0149;0,0100;0,0080;0,020
1,451672;0,0012;-0,0037;-0,0057;0,007
