time,gFx,gFy,gFz,TgF
0.450550521,0.0370,-0.0004,1.0082,1.009
0.453092448,0.0382,0.0006,1.0085,1.009
0.456623333,0.0348,0.0023,1.0094,1.010
0.458012656,0.0348,-0.0016,1.0075,1.008
0.460477656,0.0375,0.0006,1.0097,1.010
0.463108021,0.0365,0.0006,1.0097,1.010
0.465547604,0.0372,0.0013,1.0109,1.012
0.468969427,0.0380,0.0021,1.0070,1.008
0.470806667,0.0375,0.0001,1.0063,1.007
0.473554531,0.0370,0.0028,1.0090,1.010
0.475772448,0.0355,0.0004,1.0080,1.009
0.478233542,0.0377,0.0021,1.0070,1.008
0.480795833,0.0375,0.0009,1.0087,1.009
0.483977344,0.0358,-0.0016,1.0094,1.010
0.485912292,0.0350,0.0001,1.0080,1.009
0.49012651,0.0394,0.0004,1.0102,1.011
0.491280469,0.0382,0.0018,1.0092,1.010
0.493461354,0.0380,0.0026,1.0080,1.009
0.495954896,0.0335,0.0021,1.0075,1.008
0.499045469,0.0343,0.0021,1.0109,1.011
0.501027292,0.0380,0.0006,1.0080,1.009
0.503448229,0.0367,-0.0002,1.0102,1.011
0.50676224,0.0363,0.0011,1.0087,1.009
0.509359583,0.0382,0.0031,1.0070,1.008
0.5110575,0.0370,0.0004,1.0085,1.009
0.513201146,0.0370,0.0006,1.0082,1.009
0.515823021,0.0355,0.0023,1.0090,1.010
0.518431146,0.0385,-0.0002,1.0134,1.014
0.525355885,0.0389,0.0006,1.0058,1.007
0.526324844,0.0382,-0.0006,1.0080,1.009
0.527013229,0.0370,-0.0021,1.0104,1.011
0.528630208,0.0340,0.0011,1.0090,1.010
0.530906771,0.0358,0.0011,1.0087,1.009
0.533375,0.0407,0.0035,1.0087,1.010
0.536032031,0.0392,0.0021,1.0092,1.010
0.539079583,0.0340,0.0016,1.0119,1.012
0.541173281,0.0355,0.0001,1.0097,1.010
0.544306667,0.0358,-0.0016,1.0060,1.007
0.54615349,0.0367,0.0013,1.0075,1.008
0.548959583,0.0367,0.0013,1.0087,1.009
0.551244167,0.0375,0.0011,1.0087,1.009
0.553744948,0.0365,0.0028,1.0085,1.009
0.556223698,0.0387,0.0004,1.0072,1.008
0.558968698,0.0355,0.0001,1.0075,1.008
0.561263073,0.0345,0.0009,1.0065,1.007
0.563698906,0.0355,0.0009,1.0126,1.013
0.566818802,0.0375,0.0006,1.0070,1.008
0.568837552,0.0380,0.0004,1.0085,1.009
